"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment5"
"04/17/2017 18:10:08:213 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","timer","tideday","sum [time-foraged-here] of patches with [vt = 1]","sum [time-foraged-here] of patches with [vt = 2]","sum [time-foraged-here] of patches with [vt = 3]","sum [time-foraged-here] of patches with [vt = 4]","sum [time-foraged-here] of patches with [vt = 5]","sum [time-foraged-here] of patches with [vt = 6]","sum [time-foraged-here] of patches with [vt = 8]","sum [time-foraged-here] of patches with [vt = 9]","sum [time-foraged-here] of patches with [vt = 10]","sum [time-foraged-here] of patches with [vt = 11]","sum [time-foraged-here] of patches with [vt = 12]","sum [time-foraged-here] of patches with [vt > 12]"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.051","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.455","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.883","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","1","8925.81927775787","0","18560","194400","0","130500","1277500","0","1100","192348","0","0","15400","5.552","1","0","16","162","0","1305","1250","11","411","0","0","7","7"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","2","9064.971032649411","0","70760","388800","0","182200","2882040","0","2700","197496","0","0","24200","6.868","2","0","61","324","0","1822","2820","27","422","0","0","7","15"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","3","8140.096066789576","0","122960","585600","0","230400","4473294","0","3000","200304","0","0","29700","8.248","3","0","106","488","0","2304","4377","30","428","0","0","11","16"
"2","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","1","8074.5271607136865","30000","27840","940800","0","146900","2640848","0","400","219960","0","0","41800","8.808","1","15","24","784","0","1469","2584","4","470","0","0","0","38"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","1","8944.686379067309","16000","37120","826800","0","261500","3778334","0","34300","690768","0","1350","0","9.482","1","8","32","689","0","2615","3697","343","1476","0","9","0","0"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","4","8161.79930112784","0","175160","778800","0","288600","5968480","0","3600","208728","0","0","42900","9.698","4","0","151","649","0","2886","5840","36","446","0","0","11","28"
