"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment1"
"04/06/2017 10:15:31:587 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[reporter]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer"
"[final]","7306.4466208038475","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0028799999999999997","0.586096","64172.59","7306.4466208038475","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0028799999999999997","0.586096","56599.332","7306.4466208038475","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0028799999999999997","0.586096","55954.514","7306.4466208038475","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0028799999999999997","0.586096","60971.644","7306.4466208038475","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0028799999999999997","0.586096","59164.627"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2392","457.503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2392","20.865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2392","20.167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2392","19.605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2392","18.836"
"[max]","9297.332282248866","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0029805615550755936","0.5901479452054794","64172.59","9297.332282248866","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0029805615550755936","0.5901479452054794","56599.332","9297.332282248866","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0029805615550755936","0.5901479452054794","55954.514","9297.332282248866","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0029805615550755936","0.5901479452054794","60971.644","9297.332282248866","3102000","36739520","65283600","0","37163000","300662180","0","4811300","77806404","16511150","1473300","3797200","0.0029805615550755936","0.5901479452054794","59164.627"
"[mean]","7395.4241903068005","1958329.6703296704","1.9683693506493505E7","3.847677482517482E7","0","2.1758395804195803E7","1.7946803841958043E8","0","2570015.4845154844","4.636718836363637E7","8148338.011988012","722010.6893106893","1897154.945054945",,,"36679.38771528473","7395.4241903068005","1958329.6703296704","1.9683693506493505E7","3.847677482517482E7","0","2.1758395804195803E7","1.7946803841958043E8","0","2570015.4845154844","4.636718836363637E7","8148338.011988012","722010.6893106893","1897154.945054945",,,"27802.787449550455","7395.4241903068005","1958329.6703296704","1.9683693506493505E7","3.847677482517482E7","0","2.1758395804195803E7","1.7946803841958043E8","0","2570015.4845154844","4.636718836363637E7","8148338.011988012","722010.6893106893","1897154.945054945",,,"27570.72396503495","7395.4241903068005","1958329.6703296704","1.9683693506493505E7","3.847677482517482E7","0","2.1758395804195803E7","1.7946803841958043E8","0","2570015.4845154844","4.636718836363637E7","8148338.011988012","722010.6893106893","1897154.945054945",,,"31211.997458541457","7395.4241903068005","1958329.6703296704","1.9683693506493505E7","3.847677482517482E7","0","2.1758395804195803E7","1.7946803841958043E8","0","2570015.4845154844","4.636718836363637E7","8148338.011988012","722010.6893106893","1897154.945054945",,,"29550.082299700312"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","457.503","0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","20.865","0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","20.167","0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","19.605","0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","18.836"
,"8408.819624940672","30000","41760","327600","0","269400","3220322","0","800","687024","0","0","0","0","0.25733333333333336","490.642","8408.819624940672","30000","41760","327600","0","269400","3220322","0","800","687024","0","0","0","0","0.25733333333333336","45.767","8408.819624940672","30000","41760","327600","0","269400","3220322","0","800","687024","0","0","0","0","0.25733333333333336","45.371","8408.819624940672","30000","41760","327600","0","269400","3220322","0","800","687024","0","0","0","0","0.25733333333333336","44.849","8408.819624940672","30000","41760","327600","0","269400","3220322","0","800","687024","0","0","0","0","0.25733333333333336","43.885"
