"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment1"
"04/11/2017 10:45:52:036 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer"
"21","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8249.260344988374","2166000","20960040","58004400","0","6436500","66224578","0","1356400","11374740","16427050","1003050","128700","0.0028767123287671234","0.5742831050228311","974.906"
"22","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8186.312374797354","990000","15008080","33265200","0","4818600","69549144","0","1118700","12111840","12684600","955650","196900","0.005068493150684932","0.621406392694064","955.143"
"20","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9194.464514814666","1220000","32190000","32098800","0","15695000","97830950","0","1541600","7192224","9013200","180300","117700","0.004383561643835617","0.6375920852359208","1550.891"
"26","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9408.284720154083","1482000","16184320","22915200","0","3723800","39302032","0","651000","517608","6262550","168150","86900","5.479452054794521E-4","0.5917077625570776","479.048"
"23","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6885.575591563471","1820000","13914200","72255600","0","7272000","74631550","0","668700","5583708","3813500","472800","0","0","0.5520502283105023","1142.939"
"24","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7694.030050001459","1666000","22891440","39578400","0","6862900","72685662","0","852100","17501796","14457950","309300","6233700","4.10958904109589E-4","0.5383881278538812","961.211"
"25","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7985.421300668592","2360000","16763160","70195200","0","4283800","72523164","0","693400","22124700","11012750","511350","2308900","0.002465753424657534","0.5622968036529681","920.05"
"27","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9162.434566141086","1020000","12007160","4435200","0","3902700","52171056","0","494100","7531524","6181350","273750","90200","8.21917808219178E-4","0.5928493150684931","525.186"
"28","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","7489.985215931534","832000","7084120","43635600","0","5125900","24722180","0","166300","3238092","796050","896550","10202500","0.0038356164383561643","0.5721461187214613","579.18"
"29","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9824.32170711723","1014000","19717680","7814400","0","2340700","56738374","0","1194400","5050656","6072600","168300","79200","0.0019178082191780822","0.5516803652968036","482.506"
"30","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6802.687601775126","1170000","11242720","27928800","0","2758400","37145612","0","746100","12759084","13050","2250","0","2.7397260273972606E-4","0.5495068493150684","496.892"
"31","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","5982.551846178097","2362000","9321760","54770400","0","11027400","164046330","0","177600","25097904","9775900","906750","7075200","0.0036529680365296802","0.5143698630136987","993.639"
"32","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7461.971117226319","968000","13112640","34105200","0","14592100","147718858","0","2560200","13875732","6606200","281250","8963900","0.006940639269406392","0.5319223744292237","1178.023"
"34","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7691.885277255065","1272000","11775160","55084800","0","14058600","148016260","0","2205700","22574448","5337450","959850","9166300","0.006484018264840183","0.504420091324201","942.973"
"33","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","5888.797473339421","788000","1814240","40945200","0","15753700","199817352","0","1120400","18748080","6822250","121500","16383400","7.305936073059361E-4","0.4939178082191781","1041.355"
"37","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7973.223245409956","1114000","14118360","30804000","0","9134200","89752040","0","1902300","19998108","13928700","582300","643500","0.003972602739726027","0.49084246575342466","625.091"
"36","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6603.487963012862","1214000","9256800","27324000","0","6033900","119696640","0","936000","18039060","9011750","667650","10180500","1.3698630136986303E-4","0.4815479452054794","750.805"
"38","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6501.344011579518","0","1590360","41896800","0","8146000","119834610","0","1124200","15361164","746750","436800","8141100","0.001643835616438356","0.49956164383561646","698.117"
"35","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","5547.971554740904","894000","5861480","28114800","0","17694700","183745380","0","1530800","13013208","5784050","10650","0","0.0051141552511415524","0.5330684931506849","1067.625"
"41","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6062.082835086525","464000","1830480","11150400","0","7150900","42844284","0","640600","9407268","43500","85500","5588000","2.7397260273972606E-4","0.5059178082191781","386.782"
"42","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","7472.704700304117","488000","1396640","12645600","0","7767600","63888286","0","918300","34164","26100","1500","0","0.0021917808219178085","0.5265068493150685","390.359"
"39","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8412.919353737025","110000","8009800","19701600","0","8909100","101762584","0","1434900","9367020","0","0","0","0.011369863013698632","0.5655","669.942"
"40","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7108.934137303596","1222000","19072720","36654000","0","10150500","87791844","0","1717200","6149052","9774450","426150","22000","0.0064383561643835616","0.49236301369863017","707.494"
"43","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","5047.572457160864","436000","0","35748000","0","4846800","69206774","0","337200","5647824","0","324450","15400","0","0.47134246575342464","386.279"
"44","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","8040.936823909263","964000","9402960","18961200","0","3430000","37355122","0","365300","12480156","2637550","436650","5745300","0.007123287671232877","0.4796164383561644","342.759"
"45","2","""full""","20","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6429.1200094909045","596000","3214360","27100800","0","5405500","43654730","0","317400","5280912","200100","1113900","1464100","0","0.48673972602739723","368.319"
"48","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","8049.020862528891","1842000","22775440","53637600","0","6554100","96356204","0","741900","23489856","16728650","175200","136400","0.00821917808219178","0.5628904109589041","958.733"
"46","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9536.011986637832","2270000","27469960","70333200","0","8277900","110379066","0","1390300","9118044","8188150","545250","5261300","0.0052054794520547945","0.544675799086758","1076.108"
"49","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9166.80444382549","2228000","24706840","72470400","0","6862600","117882590","0","677600","20278440","8481050","197700","5899300","0.006027397260273973","0.5250228310502283","858.619"
"47","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7173.2431997778185","2380000","9222000","56139600","0","14390400","100425808","0","941700","22327344","14643550","313200","137500","0.006301369863013698","0.5653424657534246","1062.031"
"52","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7279.953976018027","1600000","16912800","24477600","0","7321000","99280146","0","877300","18122832","78300","1050","0","0.001232876712328767","0.503445205479452","641.037"
"53","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8251.320231050038","2212000","15832840","63723600","0","7670500","64056916","0","658900","15949908","24650","797850","0","0.010136986301369864","0.5405205479452054","656.59"
"51","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6564.340582687364","2254000","9045680","70479600","0","6830600","83677272","0","339600","3758040","17207150","1116600","17600","0.004657534246575342","0.5161232876712328","734.799"
"50","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7631.9465513826935","2728000","19309360","70161600","0","8677100","88623752","0","669800","28402920","15417850","931350","298100","0.004566210045662101","0.5364931506849315","953.023"
"56","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6248.977916733145","1392000","6469320","32642400","0","3352400","60860100","0","378900","11386440","6016050","15750","127600","0.0035616438356164386","0.4523424657534246","388.896"
"57","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","11515.89374777441","1124000","20107440","16459200","0","2181300","30813300","0","923600","10365732","0","0","0","0.010684931506849314","0.47132876712328764","297.763"
"54","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7727.450897842262","2116000","12271640","46509600","0","5625600","81090590","0","997200","9929556","5908750","934650","4400","0.004657534246575342","0.5437534246575343","648.499"
"55","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7107.795929736795","1568000","18544920","41634000","0","3949800","91595728","0","1304400","9731592","9164000","761400","7057600","0.005068493150684932","0.5043424657534247","613.46"
"58","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","8200.019573650936","768000","13534880","7792800","0","1941400","52484810","0","481200","9291204","0","0","0","0.015616438356164384","0.5217260273972603","355.167"
"59","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6507.64156812237","792000","7437920","3259200","0","6087700","44543870","0","507400","8783892","5311350","164250","11000","0.0030136986301369864","0.5114246575342466","371.435"
"60","2","""full""","20","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","8665.387796911677","1870000","8193080","35646000","0","2676200","32532304","0","23800","6424704","6036350","111750","0","0.0021917808219178085","0.4959452054794521","327.774"
"61","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","8302.8449253804","652000","13335360","25082400","0","12417400","147703528","0","1285500","24475932","2338850","379500","5919100","0.016621004566210046","0.40152511415525116","484.704"
"62","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","8701.920910305656","1244000","9720800","60926400","0","14646300","148756188","0","1905400","5948748","4128150","268500","4150300","0.010776255707762557","0.39131506849315073","560.86"
"63","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7825.611589763522","638000","8408840","60606000","0","11114000","156322054","0","1395500","19911060","5330200","327450","2508000","0.004748858447488584","0.38946118721461187","498.65"
"64","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","6750.643634945364","1410000","9808960","31125600","0","13900300","147825146","0","912400","28050048","1300650","506250","979000","0.0108675799086758","0.4008127853881278","485.658"
"65","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7953.668700454624","1466000","9255640","25270800","0","15283600","160554156","0","1336600","15141204","4769050","438150","4673900","0.013150684931506848","0.40474885844748854","499.379"
"68","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7964.596150789408","760000","9800840","37705200","0","11517400","70984032","0","737900","7210476","1194800","810600","2136200","0.016575342465753425","0.39190410958904104","329.579"
"66","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6282.970364339863","488000","3809440","22274400","0","10690500","112969836","0","269800","14115348","1358650","475050","28600","0.002465753424657534","0.3937945205479452","414.505"
"67","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","5667.467569028091","480000","3643560","1692000","0","11291300","127229802","0","1013200","21148920","0","0","0","0.012054794520547946","0.3961232876712329","393.67"
"71","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","10180.696969437655","770000","7962240","5756400","0","5497400","32608954","0","478500","2878200","245050","177450","446600","0.0136986301369863","0.4203013698630137","211.383"
"69","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7154.727701206803","670000","7556240","41552400","0","8307500","102491270","0","1281700","10674612","1377500","16350","287100","0.0026027397260273972","0.37376712328767125","342.819"
"72","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","7631.698201181473","0","4101760","20377200","0","1912000","37131304","0","191000","12288744","0","1001100","4488000","5.479452054794521E-4","0.3533150684931507","218.307"
"70","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8559.551613198722","1066000","9692960","21558000","0","8913100","103335442","0","1078500","8238204","4679150","7200","118800","0.011643835616438357","0.40182191780821913","331.093"
"74","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","8283.791458375774","310000","6493680","8244000","0","3322900","55286112","0","225400","8217144","4597950","13350","144100","0.00904109589041096","0.3692054794520548","201.51"
"73","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","8094.4418676560135","300000","2376840","10701600","0","5127800","58493148","0","0","7298928","0","0","0","0.015342465753424657","0.40786301369863015","241.442"
"75","2","""full""","10","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9051.514927775186","398000","4290840","3086400","0","2189900","62884682","0","961400","10385856","0","3750","31900","5.479452054794521E-4","0.3838630136986302","227.759"
"76","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","8513.848592215343","2590000","17847760","85155600","0","5412300","104514830","0","1227200","16814304","5398350","436950","36300","0.00821917808219178","0.4095068493150685","420.293"
"77","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","6759.185287819835","1242000","16503320","42619200","0","6640900","98700672","0","501300","18755100","12652700","700650","130900","0.010410958904109589","0.4182739726027397","451.025"
"79","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9432.395616364442","2218000","19914880","48316800","0","7344400","122726870","0","1099500","6138288","5560750","831300","20900","0.01004566210045662","0.4241643835616438","446.659"
"78","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9119.221337364068","2502000","15424520","72727200","0","6708300","150885014","0","627300","3974724","13292150","183900","129800","0.0030136986301369864","0.401351598173516","503.571"
"80","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","9557.560106957244","1476000","25211440","43377600","0","12417700","90334580","0","1648600","5234112","1057050","786900","0","0.013059360730593607","0.408","427.669"
"81","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","10552.265922421258","2060000","14603240","22418400","0","8938000","70087738","0","748900","5993676","5430250","470400","5941100","0.011643835616438357","0.40745205479452057","310.751"
"82","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8897.281003576993","1816000","15436120","47352000","0","10088500","56516600","0","698000","629460","2208350","186750","0","0.017945205479452053","0.42557534246575346","318.496"
"83","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","8007.057233456479","2628000","15758600","59632800","0","3543800","46904690","0","1139900","5816304","5521600","154050","357500","0.009589041095890411","0.4155479452054795","327.037"
"86","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9844.984049027795","1556000","8037640","18385200","0","1346800","35183372","0","200500","6233760","4624050","265350","6118200","0.0019178082191780822","0.3381917808219178","196.757"
"85","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","11881.223083551706","1420000","15860680","37290000","0","5837000","75695452","0","488200","8129628","3841050","668100","3300","0.006575342465753424","0.389","300.479"
"84","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","9286.891789725056","2204000","13021000","27798000","0","3938200","98366478","0","546600","2993796","6670000","284400","57200","0.01219178082191781","0.43867123287671234","308.286"
"87","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","11535.6148573529","714000","9879720","14407200","0","3652800","44103388","0","272100","451152","0","0","0","0.008493150684931507","0.4111506849315068","199.39"
"88","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9363.443091753834","822000","7921640","18589200","0","2952100","33626866","0","108900","2598336","14500","29550","0","0.01863013698630137","0.40956164383561644","190.308"
"89","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","9032.776773349333","656000","10226560","15937200","0","2042100","25211718","0","238400","5256576","0","0","0","0.02849315068493151","0.4317808219178082","165.763"
"90","2","""full""","10","3000","5","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","12508.56959299736","860000","11968880","3148800","0","3563300","30250178","0","199800","151164","0","0","0","0.01589041095890411","0.4281643835616438","169.678"
